File,Frame,X,Y,Z
-,329,-81.915955,-17.358868,-5.698111
-,330,-82.068558,-18.073452,-5.426793
-,331,-82.146782,-18.450861,-5.197869
-,332,-82.421387,-18.419992,-5.198614
-,333,-82.767738,-18.141603,-5.307487
-,334,-83.015953,-17.715094,-5.376192
-,335,-83.19677,-17.288385,-5.429987
-,336,-83.544838,-17.011925,-5.457722
-,337,-83.794716,-17.106619,-5.453353
-,338,-84.045929,-17.035164,-5.562098
-,339,-84.473999,-17.17873,-5.481775
-,340,-84.75441,-17.436304,-5.491159
-,341,-85.002174,-17.8258,-5.381769
-,342,-85.358383,-17.6546,-5.466004
-,343,-85.65538,-17.631279,-5.534342
-,344,-85.937019,-17.622829,-5.75981
-,345,-86.000648,-17.794741,-5.822437
-,346,-86.050407,-17.85968,-5.964351
-,347,-86.261856,-18.514498,-6.258219
-,348,-86.260742,-18.701691,-6.19662
-,349,-86.486305,-18.932682,-6.268003
-,350,-86.644188,-19.232719,-6.556606
-,351,-86.72805,-19.570021,-6.845425
-,352,-86.797676,-19.829006,-7.255978
-,353,-86.714867,-20.233601,-7.778114
-,354,-86.719421,-20.415741,-8.568722
-,355,-86.62941,-21.059072,-9.348896
-,356,-86.408447,-21.624865,-10.143363
-,357,-86.122009,-22.44466,-10.895877
-,358,-85.660805,-23.031876,-11.525991
-,359,-84.918854,-23.590393,-11.962171
-,360,-83.459312,-24.327061,-12.29389
-,361,-81.509445,-25.328993,-12.505036
-,362,-78.364845,-27.014631,-11.674559
-,363,-73.987144,-29.611803,-9.795103
-,364,-68.250008,-32.69241,-6.133767
-,365,-61.731262,-35.616341,-1.576408
-,366,-54.979263,-36.830017,3.388677
-,367,-49.944351,-35.131584,5.773944
-,368,-45.880947,-32.203152,5.953454
-,369,-43.254612,-28.776461,4.736783
-,370,-42.22007,-25.38905,2.669827
-,371,-42.397442,-22.939726,-0.131289
-,372,-44.291836,-21.804281,-3.051869
-,373,-47.085354,-21.569323,-3.456941
-,374,-50.129498,-22.283493,-1.895204
-,375,-53.022999,-23.881756,0.406804
-,376,-55.141083,-25.791946,2.682199
-,377,-56.580929,-27.34194,3.811153
-,378,-57.543682,-28.064186,3.750443
-,379,-58.513939,-28.14189,3.141111
