File,Frame,X,Y,Z,Reliability
-,315,0.329123,0.166171,0.049954,1.16
-,316,0.328932,0.15597,0.049276,1.15
-,317,0.329158,0.146245,0.048837,1.2
-,318,0.329077,0.136112,0.048346,1.28
-,319,0.329195,0.12609,0.047902,1.22
-,320,0.329149,0.115711,0.04753,1.28
-,321,0.329084,0.105175,0.047163,1.25
-,322,0.329108,0.094501,0.046625,1.19
-,323,0.329125,0.083756,0.046347,1.24
-,324,0.329244,0.072795,0.045914,1.25
-,325,0.329165,0.061887,0.045187,1.08
-,326,0.329181,0.051123,0.044727,1.07
-,327,0.329176,0.040365,0.044498,1.1
-,328,0.329031,0.029737,0.044447,1.2
-,329,0.329086,0.019172,0.044369,1.2
-,330,0.328625,0.008905,0.044176,1.23
-,331,0.328618,-0.001512,0.044054,1.21
-,332,0.328547,-0.01195,0.043839,0.87
-,333,0.328623,-0.022283,0.043869,0.87
-,334,0.328961,-0.032506,0.043611,0.86
-,335,0.328996,-0.043228,0.043561,0.78
-,336,0.329027,-0.0539,0.043381,0.83
-,337,0.329025,-0.064962,0.043284,1.09
-,338,0.328873,-0.076091,0.043159,1.06
-,339,0.328967,-0.087193,0.043032,1.03
-,340,0.329025,-0.098224,0.043011,1.05
-,341,0.329042,-0.109263,0.042784,0.92
-,342,0.329055,-0.120481,0.042978,1.2
-,343,0.328735,-0.131778,0.042882,0.86
-,344,0.328961,-0.142974,0.042861,1.25
-,345,0.329017,-0.154394,0.042663,1.2
-,346,0.328968,-0.165938,0.04253,1.21
-,347,0.329075,-0.177307,0.042371,1.18
-,348,0.329045,-0.189115,0.041848,0.77
-,349,0.32888,-0.200728,0.041883,0.85
-,350,0.328867,-0.212462,0.041814,0.87
-,351,0.329006,-0.224403,0.041774,1.11
-,352,0.329077,-0.236314,0.04161,1.17
-,353,0.328913,-0.248281,0.041367,0.92
-,354,0.328816,-0.26035,0.04144,1.15
-,355,0.328691,-0.272834,0.041112,1.14
-,356,0.328989,-0.28545,0.040916,0.82
-,357,0.329261,-0.298267,0.04087,1.25
-,358,0.329143,-0.311269,0.040638,0.99
-,359,0.329125,-0.324668,0.040381,0.7
-,360,0.329536,-0.337538,0.040279,0.83
-,361,0.329008,-0.351372,0.040552,0.88
-,362,0.328929,-0.36514,0.04095,1.25
-,363,0.328405,-0.378356,0.040684,1.24
-,364,0.327478,-0.39001,0.039523,0.98
-,365,-1,,,
-,366,0.325783,-0.402947,0.035792,0.79
-,367,0.324293,-0.406908,0.034076,0.88
-,368,0.322854,-0.410638,0.031096,0.86
-,369,0.320907,-0.413774,0.027451,0.93
-,370,0.318911,-0.416935,0.022897,1.25
-,371,0.317753,-0.414395,0.027178,1.2
-,372,0.319106,-0.401946,0.037474,1.24
-,373,0.321929,-0.385061,0.047432,1.28
-,374,0.327337,-0.366185,0.056738,0.73
-,375,0.332595,-0.345162,0.066045,0.63
-,376,0.337246,-0.324585,0.073888,0.72
-,377,0.340666,-0.305212,0.080218,0.53
